,TotalS
1959,1.0168766193316396
1960,0.7802778020919411
1961,0.8159195789020699
1962,0.7053749352632084
1963,0.6963651016232484
1964,0.7754316584429137
1965,0.8630782908164384
1966,0.6317184145307172
1967,0.7818269597478043
1968,0.719911387032818
1969,0.851253593713119
1970,0.5876012125906234
1971,0.884533408536764
1972,1.1941117934783743
1973,0.5524828089869679
1974,1.0666607062977902
1975,0.9104157069374289
1976,1.068848999096686
1977,0.42253005885302125
1978,0.7798723691271217
1979,0.6808040542321575
1980,0.6676644321848567
1981,0.7722354285549331
1982,0.8066507563845171
1983,0.6818736593951995
1984,0.8078860474881178
1985,0.6171202608557729
1986,0.6302166240217951
1987,0.7096582677475873
1988,0.6903994534714692
1989,0.7906209501300908
1990,0.8326232665158535
1991,0.9431795428348668
1992,0.6698332107509362
1993,0.7070579032070824
1994,0.5777459449873729
1995,0.7219639343779993
1996,0.9796060822834686
1997,1.0446798451009105
1998,0.5874533755186997
1999,0.9949688093277057
2000,0.9148013897752314
2001,0.4411272119931342
2002,0.8672524021313643
2003,0.7529431442186979
2004,0.6976077074502578
2005,0.5674798545998632
2006,0.6809819420665973
2007,0.9618786097066229
2008,0.6280362867763123
2009,0.9025101500223702
2010,0.7762894426638824
2011,0.8525527216637377
2012,0.8173762672126217
2013,0.8111714786821577
