,C1,C2,G
1949-01-01,91.98320450835605,40.05623596217261,94.30231548745483
1950-01-01,93.92775730302725,55.55230076621107,113.78795250238356
1951-01-01,85.4633474621095,42.00715034986849,93.77818228654522
1952-01-01,52.28914693322949,22.617191804254055,32.19076188015572
1953-01-01,62.61622917687122,28.98147831027119,51.540075077720566
1954-01-01,81.1134918608959,41.01815537574246,80.16181306048766
1955-01-01,78.70368939099458,33.88479250463013,70.92633159673973
1956-01-01,106.51977735995084,58.33425218868844,132.4164623626639
1957-01-01,69.63229047904106,29.05017575689724,60.28540355695897
1958-01-01,62.843307015690485,35.128600311554834,61.455781512690486
1959-01-01,97.84130071923288,38.51866996027402,97.86302323199999
1960-01-01,67.19479477291807,28.27042593934433,52.61989699040161
1961-01-01,78.99981378825207,38.07335844854796,77.6727622091876
1962-01-01,67.77734304953418,26.77097989500821,53.78230387770405
1963-01-01,59.652269890200095,24.49368475298629,44.65345667752192
1964-01-01,61.60716907022139,26.345576659254096,43.3722801287377
1965-01-01,78.05030723912051,37.490884784778096,75.69023380737539
1966-01-01,51.842328326794515,22.56402739564108,32.87865226149864
1967-01-01,64.75845683772327,32.24032070775616,53.64002141907942
1968-01-01,73.47865901701643,30.95054587630329,60.3837420166395
1969-01-01,72.0886411905863,36.7885493987753,69.0341455739178
1970-01-01,52.24295352654248,27.748027487112306,38.24023389484111
1971-01-01,79.32953049989588,41.937250406999965,83.29194956982742
1972-01-01,119.95666284049183,66.7374699570245,149.56223585272963
1973-01-01,53.393703640380785,16.859928284202734,27.033651622604392
1974-01-01,89.89784328271229,57.79538295062473,116.44042647205475
1975-01-01,94.47120802421924,51.00151192190141,106.39469528209305
1976-01-01,82.80240641815567,45.07005305378686,78.12068771415571
1977-01-01,57.218960558268485,16.94549946842466,34.5591291232841
1978-01-01,70.17100879566574,30.171716849104065,68.45143916893973
1979-01-01,42.05129359902738,22.96248034411231,26.585407571654795
1980-01-01,70.71281485471316,32.695281441049204,62.98440457144262
1981-01-01,62.91514646862735,24.70284151877258,49.02701309177259
1982-01-01,75.0647806004877,39.15234668985205,81.03792854862738
1983-01-01,75.18728005641374,43.65713035533698,83.73679559913701
1984-01-01,76.35266425064754,37.37591698696725,76.42600952648367
1985-01-01,60.98533395047665,22.338889066890406,36.582495849098635
1986-01-01,58.704314949123244,28.545398866471253,49.682489914520495
1987-01-01,46.79921424669857,24.51827774065479,31.31207118897539
1988-01-01,48.61615787727871,22.797460256467204,28.928908684745906
1989-01-01,60.3299347081315,24.205318396002728,43.22795556738083
1990-01-01,83.03577907998091,35.30909111852878,71.98980375749596
1991-01-01,72.6053266728329,33.09137772581097,60.53536761458632
1992-01-01,55.056693201090155,17.29107140991804,31.52307229105738
1993-01-01,46.39067584587122,20.359502671389034,28.649618827903733
1994-01-01,43.962801796955695,18.329689014106847,26.505344596027385
1995-01-01,82.48584729194418,55.56929087441093,105.3454203350384
1996-01-01,98.7129603578641,51.07067145945088,120.77429245550843
1997-01-01,101.35670926661832,62.07820908387132,138.58032180591783
1998-01-01,68.73321274329845,35.28070832818646,68.22536056570779
1999-01-01,85.32918612004369,55.872003399469236,103.27372955216126
2000-01-01,68.66841896448496,29.03784344041805,57.09063197372127
2001-01-01,42.70619244777492,12.028919025197263,26.196729753928768
2002-01-01,65.5079083539179,35.017931867046585,62.76751096221365
2003-01-01,59.55398638118516,39.068559854893174,55.55687800997264
2004-01-01,53.080369927891944,32.174437140491804,39.92590321722129
2005-01-01,44.5723324019851,22.88226220767944,30.343712601978105
2006-01-01,64.0349334679283,57.49018164624661,74.94072953650681
2007-01-01,75.72899685560427,50.245102995189036,78.34185439261648
2008-01-01,60.288531647550066,45.393375741254125,55.045629514967196
2009-01-01,73.39973525661115,43.77668175595886,71.67862876210694
2010-01-01,56.831151641053104,38.92550159224111,51.28399923596532
2011-01-01,88.20815064488546,64.69745303963695,111.50888464815914
2012-01-01,81.03304061231026,58.880550704172144,93.82988411379505
2013-01-01,70.75845458744725,37.97816729438628,60.3134876627507
