,R1,R2,R3
1949-01-01,54.6975214404327,10.44668067579304,17.41683610205376
1950-01-01,60.2091334872215,12.636610198877664,21.516359914531073
1951-01-01,48.312042185575656,9.80467336256877,17.888247988673495
1952-01-01,30.638620332911408,6.2217551859940174,12.088282489532112
1953-01-01,49.75766610057939,9.278005609901664,15.421194284766324
1954-01-01,52.61341391409718,10.117999662525774,16.946148816395574
1955-01-01,52.91940110795494,9.292736576773894,15.965949908332183
1956-01-01,62.0024792175004,11.599067952336904,20.993232234069257
1957-01-01,34.383615874949925,7.146543005733777,12.790642209497257
1958-01-01,48.37454328543486,9.621756616401113,16.70398391665561
1959-01-01,65.05346795620147,9.910396056402332,16.58348758672832
1960-01-01,37.24831400175237,7.425438588794755,13.408975591506065
1961-01-01,50.04479117111915,9.656892004997918,16.297057636597152
1962-01-01,45.360586532413976,8.157924580874383,15.062706880766447
1963-01-01,30.896567619589963,5.957734273723398,11.409558983140768
1964-01-01,50.40558686553957,8.92528681121041,13.47509156082934
1965-01-01,41.87863530951403,7.598503157974603,14.358334233387765
1966-01-01,37.745880707327174,6.80119461874192,11.060593797773178
1967-01-01,48.00316357010774,8.551361180504468,14.844746290877273
1968-01-01,45.44445438166231,8.553821615421473,14.101078790087609
1969-01-01,40.95090713103961,7.573185569344512,14.637522828727231
1970-01-01,36.42585868855505,7.124583096934268,13.573405199020273
1971-01-01,55.587544767371604,9.933075911339252,17.536645845416793
1972-01-01,69.2083013157015,12.66171102023162,23.571100500721883
1973-01-01,28.46484868591466,5.377756371509673,10.91585824681389
1974-01-01,63.03346356504164,12.08406007224854,21.555109774091516
1975-01-01,60.21999474360505,11.246558677964465,19.56215534195499
1976-01-01,46.964430775978265,8.7629717042059,16.69076817983623
1977-01-01,38.84364806091843,5.980931589946602,11.654808479693676
1978-01-01,35.995043850884954,6.373558250172082,12.756163151107634
1979-01-01,35.98263952029088,6.2560123029609835,10.330087415927588
1980-01-01,42.955988435726546,9.42295617091975,15.034994709415317
1981-01-01,33.52298233198095,6.263551566499234,12.137752693180675
1982-01-01,50.61208778070098,10.05104389594126,17.14754986932
1983-01-01,43.594113345799535,8.741620911791411,17.27780814132404
1984-01-01,45.34336169050367,8.093594709552708,15.27862171994877
1985-01-01,39.625196141334584,6.621503665720191,11.502620555247196
1986-01-01,38.53546922068318,7.3554383255628535,12.633941433023422
1987-01-01,30.36987659280205,6.043947823680002,10.42189451292172
1988-01-01,42.339982508193614,6.483368036478526,11.720051294302214
1989-01-01,43.07189017440545,7.060092059744795,12.861618968355781
1990-01-01,61.51259519322476,9.51158468647045,15.39016677849461
1991-01-01,45.00374693616827,7.635379450808884,13.687098503431328
1992-01-01,31.662688273085557,4.94116291726754,9.45286758135328
1993-01-01,30.93131820938919,4.918384187591098,9.332026395937396
1994-01-01,34.86160657972203,5.5834654641982215,9.6950398406331
1995-01-01,60.1668940611458,11.229792001324357,20.64556954523541
1996-01-01,49.36064414807283,9.372665141174016,18.67194864334779
1997-01-01,66.54973403070163,13.383175724090384,22.651293711662884
1998-01-01,38.25764293721588,7.524835134945036,14.54155354312612
1999-01-01,61.71243455264202,11.265734226109652,19.276214924165096
2000-01-01,35.65420085251617,6.713674523656814,12.795878717107545
2001-01-01,31.06654317877661,4.729092659730331,8.101635343862549
2002-01-01,45.478583221765,8.517841791696735,14.036093945155972
2003-01-01,42.43481852640345,7.348079824362979,13.42228633252356
2004-01-01,41.53454383738975,6.602885246611476,12.26349723560853
2005-01-01,28.53712646812711,5.022199179321291,9.026361160750934
2006-01-01,47.09878864446602,10.154636231915589,16.468330340117582
2007-01-01,44.20996597784816,8.507442138709479,14.340737446438348
2008-01-01,44.99597741992985,7.6882785026492675,13.798534943054253
2009-01-01,40.96187855159506,7.397014439195097,14.486387670345938
2010-01-01,40.73300007162829,7.74687955723446,13.375094949341017
2011-01-01,51.92184203317053,10.05118198905813,17.820520297081714
2012-01-01,52.9723914460693,10.306797692118103,18.261144693390488
2013-01-01,42.691104611050086,7.556941008814851,13.652844428209635
